Player,Team,Matches,Runs,Average,Strike Rate
Virat Kohli,India,254,12169,59.07,93.17
Steve Smith,Australia,128,7540,62.84,88.45
Joe Root,England,149,6109,50.45,85.67
Kane Williamson,New Zealand,151,6173,47.48,80.12
Babar Azam,Pakistan,83,3808,56.83,89.34
Rashid Khan,Afghanistan,73,1234,18.12,130.45
Ben Stokes,England,95,4020,36.91,75.23
David Warner,Australia,128,5452,48.29,90.12
Shakib Al Hasan,Bangladesh,87,3807,38.17,78.56
Trent Boult,New Zealand,78,1234,18.12,120.34
Mitchell Starc,Australia,85,1456,19.23,110.45
Jasprit Bumrah,India,67,789,24.65,95.67
Pat Cummins,Australia,65,1023,25.57,92.34
Rashid Khan,Afghanistan,73,1234,18.12,130.45
Shaheen Afridi,Pakistan,50,567,22.68,85.67
Mujeeb Ur Rahman,Afghanistan,45,456,20.13,88.12
Shadab Khan,Pakistan,60,678,21.45,82.34
Mohammad Nabi,Afghanistan,55,789,23.67,79.56
Mustafizur Rahman,Bangladesh,40,345,17.25,75.23
Yasir Shah,Pakistan,70,890,19.78,80.12
